data,dia_semana,hora,altura_m,tipo_mare
2025-01-01,Quarta-feira,05:16,2.13,Preamar
2025-01-01,Quarta-feira,11:12,0.27,Baixa-mar
2025-01-01,Quarta-feira,17:25,2.31,Preamar
2025-01-01,Quarta-feira,23:42,0.1,Baixa-mar
2025-01-17,Sexta-feira,00:21,0.2,Baixa-mar
2025-01-17,Sexta-feira,06:36,2.07,Preamar
2025-01-17,Sexta-feira,12:23,0.35,Baixa-mar
2025-01-17,Sexta-feira,18:44,2.18,Preamar
2025-01-02,Quinta-feira,05:57,2.14,Preamar
2025-01-02,Quinta-feira,11:53,0.26,Baixa-mar
2025-01-02,Quinta-feira,18:06,2.32,Preamar
2025-01-18,Sábado,00:55,0.31,Baixa-mar
2025-01-18,Sábado,07:08,2.0,Preamar
2025-01-18,Sábado,12:59,0.44,Baixa-mar
2025-01-18,Sábado,19:19,2.06,Preamar
2025-01-03,Sexta-feira,00:21,0.12,Baixa-mar
2025-01-03,Sexta-feira,06:40,2.11,Preamar
2025-01-03,Sexta-feira,12:34,0.28,Baixa-mar
2025-01-03,Sexta-feira,18:49,2.28,Preamar
2025-01-19,Domingo,01:27,0.43,Baixa-mar
2025-01-19,Domingo,07:44,1.9,Preamar
2025-01-19,Domingo,13:32,0.55,Baixa-mar
2025-01-19,Domingo,19:57,1.93,Preamar
2025-01-04,Sábado,01:04,0.17,Baixa-mar
2025-01-04,Sábado,07:23,2.07,Preamar
2025-01-04,Sábado,13:19,0.33,Baixa-mar
2025-01-04,Sábado,19:38,2.21,Preamar
2025-01-20,Segunda-feira,02:02,0.57,Baixa-mar
2025-01-20,Segunda-feira,08:21,1.81,Preamar
2025-01-20,Segunda-feira,14:12,0.66,Baixa-mar
2025-01-20,Segunda-feira,20:40,1.8,Preamar
2025-01-05,Domingo,01:55,0.26,Baixa-mar
2025-01-05,Domingo,08:14,2.0,Preamar
2025-01-05,Domingo,14:10,0.41,Baixa-mar
2025-01-05,Domingo,20:34,2.12,Preamar
2025-01-21,Terça-feira,02:46,0.69,Baixa-mar
2025-01-21,Terça-feira,09:08,1.72,Preamar
2025-01-21,Terça-feira,15:08,0.77,Baixa-mar
2025-01-21,Terça-feira,21:29,1.68,Preamar
2025-01-06,Segunda-feira,02:49,0.37,Baixa-mar
2025-01-06,Segunda-feira,09:10,1.93,Preamar
2025-01-06,Segunda-feira,15:12,0.48,Baixa-mar
2025-01-06,Segunda-feira,21:34,2.01,Preamar
2025-01-22,Quarta-feira,03:40,0.79,Baixa-mar
2025-01-22,Quarta-feira,10:06,1.66,Preamar
2025-01-22,Quarta-feira,16:21,0.83,Baixa-mar
2025-01-22,Quarta-feira,22:38,1.6,Preamar
2025-01-07,Terça-feira,03:51,0.47,Baixa-mar
2025-01-07,Terça-feira,10:14,1.88,Preamar
2025-01-07,Terça-feira,16:23,0.52,Baixa-mar
2025-01-07,Terça-feira,22:46,1.93,Preamar
2025-01-23,Quinta-feira,04:55,0.84,Baixa-mar
2025-01-23,Quinta-feira,11:19,1.65,Preamar
2025-01-23,Quinta-feira,17:38,0.82,Baixa-mar
2025-01-08,Quarta-feira,05:02,0.54,Baixa-mar
2025-01-08,Quarta-feira,11:25,1.88,Preamar
2025-01-08,Quarta-feira,17:40,0.52,Baixa-mar
2025-01-24,Sexta-feira,00:01,1.6,Preamar
2025-01-24,Sexta-feira,06:10,0.82,Baixa-mar
2025-01-24,Sexta-feira,12:31,1.72,Preamar
2025-01-24,Sexta-feira,18:59,0.73,Baixa-mar
2025-01-09,Quinta-feira,00:01,1.9,Preamar
2025-01-09,Quinta-feira,06:14,0.55,Baixa-mar
2025-01-09,Quinta-feira,12:36,1.93,Preamar
2025-01-09,Quinta-feira,18:59,0.45,Baixa-mar
2025-01-25,Sábado,01:12,1.67,Preamar
2025-01-25,Sábado,07:19,0.74,Baixa-mar
2025-01-25,Sábado,13:31,1.83,Preamar
2025-01-25,Sábado,19:57,0.59,Baixa-mar
2025-01-10,Sexta-feira,01:14,1.93,Preamar
2025-01-10,Sexta-feira,07:25,0.51,Baixa-mar
2025-01-10,Sexta-feira,13:42,2.01,Preamar
2025-01-10,Sexta-feira,20:02,0.34,Baixa-mar
2025-01-26,Domingo,02:08,1.8,Preamar
2025-01-26,Domingo,08:10,0.62,Baixa-mar
2025-01-26,Domingo,14:23,1.97,Preamar
2025-01-26,Domingo,20:46,0.43,Baixa-mar
2025-01-11,Sábado,02:17,1.99,Preamar
2025-01-11,Sábado,08:21,0.45,Baixa-mar
2025-01-11,Sábado,14:42,2.12,Preamar
2025-01-11,Sábado,20:59,0.23,Baixa-mar
2025-01-27,Segunda-feira,02:59,1.93,Preamar
2025-01-27,Segunda-feira,08:57,0.48,Baixa-mar
2025-01-27,Segunda-feira,15:08,2.13,Preamar
2025-01-27,Segunda-feira,21:25,0.27,Baixa-mar
2025-01-12,Domingo,03:14,2.06,Preamar
2025-01-12,Domingo,09:12,0.37,Baixa-mar
2025-01-12,Domingo,15:32,2.22,Preamar
2025-01-12,Domingo,21:47,0.14,Baixa-mar
2025-01-28,Terça-feira,03:42,2.07,Preamar
2025-01-28,Terça-feira,09:38,0.35,Baixa-mar
2025-01-28,Terça-feira,15:51,2.28,Preamar
2025-01-28,Terça-feira,22:04,0.13,Baixa-mar
2025-01-13,Segunda-feira,04:02,2.11,Preamar
2025-01-13,Segunda-feira,09:59,0.31,Baixa-mar
2025-01-13,Segunda-feira,16:16,2.29,Preamar
2025-01-13,Segunda-feira,22:29,0.09,Baixa-mar
2025-01-29,Quarta-feira,04:21,2.19,Preamar
2025-01-29,Quarta-feira,10:17,0.22,Baixa-mar
2025-01-29,Quarta-feira,16:31,2.41,Preamar
2025-01-29,Quarta-feira,22:46,0.02,Baixa-mar
2025-01-14,Terça-feira,04:47,2.15,Preamar
2025-01-14,Terça-feira,10:40,0.27,Baixa-mar
2025-01-14,Terça-feira,16:59,2.33,Preamar
2025-01-14,Terça-feira,23:10,0.09,Baixa-mar
2025-01-30,Quinta-feira,05:01,2.29,Preamar
2025-01-30,Quinta-feira,10:59,0.13,Baixa-mar
2025-01-30,Quinta-feira,17:10,2.5,Preamar
2025-01-30,Quinta-feira,23:23,-0.03,Baixa-mar
2025-01-15,Quarta-feira,05:23,2.15,Preamar
2025-01-15,Quarta-feira,11:16,0.26,Baixa-mar
2025-01-15,Quarta-feira,17:34,2.32,Preamar
2025-01-15,Quarta-feira,23:47,0.13,Baixa-mar
2025-01-31,Sexta-feira,05:40,2.34,Preamar
2025-01-31,Sexta-feira,11:36,0.08,Baixa-mar
2025-01-31,Sexta-feira,17:51,2.53,Preamar
2025-01-16,Quinta-feira,06:01,2.12,Preamar
2025-01-16,Quinta-feira,11:51,0.29,Baixa-mar
2025-01-16,Quinta-feira,18:08,2.27,Preamar
2025-02-01,Sábado,00:02,-0.03,Baixa-mar
2025-02-01,Sábado,06:17,2.34,Preamar
2025-02-01,Sábado,12:14,0.09,Baixa-mar
2025-02-01,Sábado,18:29,2.49,Preamar
2025-02-17,Segunda-feira,00:46,0.39,Baixa-mar
2025-02-17,Segunda-feira,07:02,2.11,Preamar
2025-02-17,Segunda-feira,12:57,0.46,Baixa-mar
2025-02-17,Segunda-feira,19:16,2.07,Preamar
2025-02-02,Domingo,00:42,0.05,Baixa-mar
2025-02-02,Domingo,06:59,2.29,Preamar
2025-02-02,Domingo,12:57,0.16,Baixa-mar
2025-02-02,Domingo,19:16,2.39,Preamar
2025-02-18,Terça-feira,01:14,0.53,Baixa-mar
2025-02-18,Terça-feira,07:34,1.99,Preamar
2025-02-18,Terça-feira,13:27,0.6,Baixa-mar
2025-02-18,Terça-feira,19:53,1.91,Preamar
2025-02-03,Segunda-feira,01:23,0.18,Baixa-mar
2025-02-03,Segunda-feira,07:44,2.19,Preamar
2025-02-03,Segunda-feira,13:44,0.28,Baixa-mar
2025-02-03,Segunda-feira,20:06,2.23,Preamar
2025-02-19,Quarta-feira,01:49,0.69,Baixa-mar
2025-02-19,Quarta-feira,08:12,1.87,Preamar
2025-02-19,Quarta-feira,14:10,0.75,Baixa-mar
2025-02-19,Quarta-feira,20:38,1.76,Preamar
